COD_EST,FECHA,T_MED,LLUVIA
AL008,2002-08-01T00:00:00,20.1875,0
AL008,2002-08-02T00:00:00,17.93696,0
AL008,2002-08-03T00:00:00,20.63041,0
AL008,2002-08-04T00:00:00,22.59416,0
AL008,2002-08-05T00:00:00,18.49693,1.4
AL008,2002-08-06T00:00:00,15.51,0
AL008,2002-08-07T00:00:00,20.22833,0
AL008,2002-08-08T00:00:00,21.50041,0
AL008,2002-08-09T00:00:00,21.98167,0
AL008,2002-08-10T00:00:00,19.77292,0
AL008,2002-08-11T00:00:00,19.96625,0
AL008,2002-08-12T00:00:00,20.43917,0
AL008,2002-08-13T00:00:00,21.78542,0
AL008,2002-08-14T00:00:00,21.69417,0
AL008,2002-08-15T00:00:00,22.42333,0
AL008,2002-08-16T00:00:00,21.20542,0
AL008,2002-08-17T00:00:00,21.26417,0
AL008,2002-08-18T00:00:00,20.9025,0
AL008,2002-08-19T00:00:00,20.39167,0
AL008,2002-08-20T00:00:00,21.07708,0
AL008,2002-08-21T00:00:00,19.92583,0
AL008,2002-08-22T00:00:00,20.30584,0
AL008,2002-08-23T00:00:00,17.53917,19
AL008,2002-08-24T00:00:00,16.46958,6.6
AL008,2002-08-25T00:00:00,16.4875,0.6
AL008,2002-08-26T00:00:00,16.14625,0
AL008,2002-08-27T00:00:00,17.055,0
AL008,2002-08-28T00:00:00,16.99208,0.2
AL008,2002-08-29T00:00:00,17.9925,0
AL008,2002-08-30T00:00:00,18.9875,0
AL008,2002-08-31T00:00:00,20.47209,0
AL008,2002-09-01T00:00:00,18.87417,0
AL008,2002-09-02T00:00:00,18.40084,0.2
AL008,2002-09-03T00:00:00,19.29125,0
AL008,2002-09-04T00:00:00,17.34833,0
AL008,2002-09-05T00:00:00,18.70416,0
AL008,2002-09-06T00:00:00,17.185,0
AL008,2002-09-07T00:00:00,18.94167,1
AL008,2002-09-08T00:00:00,19.44792,0
AL008,2002-09-09T00:00:00,18.26833,0
AL008,2002-09-10T00:00:00,18.44417,0
AL008,2002-09-11T00:00:00,18.18826,0.2
AL008,2002-09-12T00:00:00,19.37916,0
AL008,2002-09-13T00:00:00,19.88167,0
AL008,2002-09-14T00:00:00,17.69,0
AL008,2002-09-15T00:00:00,17.87166,0
AL008,2002-09-16T00:00:00,17.40166,2.8
AL008,2002-09-17T00:00:00,17.44375,0.8
AL008,2002-09-18T00:00:00,17.40417,0
AL008,2002-09-19T00:00:00,17.97708,0
AL008,2002-09-20T00:00:00,17.88417,3.2
AL008,2002-09-21T00:00:00,17.18708,0
AL008,2002-09-22T00:00:00,14.955,0
AL008,2002-09-23T00:00:00,13.94583,0
AL008,2002-09-24T00:00:00,14.47167,0
AL008,2002-09-25T00:00:00,14.29458,1.8
AL008,2002-09-26T00:00:00,15.19875,0.2
AL008,2002-09-27T00:00:00,15.67083,0
AL008,2002-09-28T00:00:00,15.51042,0.4
AL008,2002-09-29T00:00:00,14.715,0.2
AL008,2002-09-30T00:00:00,14.25458,0
AL008,2002-10-01T00:00:00,11.88917,7.2
AL008,2002-10-02T00:00:00,13.16875,2.8
AL008,2002-10-03T00:00:00,15.44792,0.6
AL008,2002-10-04T00:00:00,14.19583,1.6
AL008,2002-10-05T00:00:00,13.71917,0
AL008,2002-10-06T00:00:00,14.17875,0.2
AL008,2002-10-07T00:00:00,15.09292,0
AL008,2002-10-08T00:00:00,14.60375,0.2
AL008,2002-10-09T00:00:00,11.36712,1.4
AL008,2002-10-10T00:00:00,7.022708,1.8
AL008,2002-10-11T00:00:00,10.36704,0
AL008,2002-10-12T00:00:00,13.29292,0.6
