cod_est,FECHA,T_Med,Lluvia
AL008,2016-01-01T00:00:00,10.3406666666667,0.2
AL008,2016-01-02T00:00:00,9.72241666666667,0
AL008,2016-01-03T00:00:00,9.46170833333334,0.6
AL008,2016-01-04T00:00:00,12.2304166666667,90.2
AL008,2016-01-05T00:00:00,6.90125,5
AL008,2016-01-06T00:00:00,3.21545833333333,2.8
AL008,2016-01-07T00:00:00,9.224875,6.6
AL008,2016-01-08T00:00:00,10.7733333333333,0
AL008,2016-01-09T00:00:00,9.6285,0.6
AL008,2016-01-10T00:00:00,8.414,0
AL008,2016-01-11T00:00:00,9.37991666666667,0.6
AL008,2016-01-12T00:00:00,6.01070833333333,0
AL008,2016-01-13T00:00:00,4.24,0
AL008,2016-01-14T00:00:00,8.71729166666666,0
AL008,2016-01-15T00:00:00,7.907625,1
AL008,2016-01-16T00:00:00,2.63529166666667,0
AL008,2016-01-17T00:00:00,2.75466666666667,0
AL008,2016-01-18T00:00:00,7.08770833333333,0
AL008,2016-01-19T00:00:00,6.44491666666667,0
AL008,2016-01-20T00:00:00,7.24225,0
AL008,2016-01-21T00:00:00,7.56583333333333,0
AL008,2016-01-22T00:00:00,9.04691666666667,0
AL008,2016-01-23T00:00:00,8.65904166666667,0.2
AL008,2016-01-24T00:00:00,8.75629166666667,0.2
AL008,2016-01-25T00:00:00,8.46108333333333,0.2
AL008,2016-01-26T00:00:00,7.43170833333333,0.4
AL008,2016-01-27T00:00:00,6.79020833333333,0.2
AL008,2016-01-28T00:00:00,6.39075,0.2
AL008,2016-01-29T00:00:00,6.87116666666667,0
AL008,2016-01-30T00:00:00,8.15616666666667,0.4
AL008,2016-01-31T00:00:00,9.46391666666667,0
AL008,2016-02-01T00:00:00,10.842,0
AL008,2016-02-02T00:00:00,10.1006666666667,0
AL008,2016-02-03T00:00:00,8.76770833333333,0
AL008,2016-02-04T00:00:00,5.11541666666667,0.2
AL008,2016-02-05T00:00:00,5.58125,0.2
AL008,2016-02-06T00:00:00,10.1950416666667,0
AL008,2016-02-07T00:00:00,7.98204166666667,8
AL008,2016-02-08T00:00:00,7.5965,0
AL008,2016-02-09T00:00:00,7.62795833333333,10.6
AL008,2016-02-10T00:00:00,10.3654166666667,3.2
AL008,2016-02-11T00:00:00,11.3533333333333,0.4
AL008,2016-02-12T00:00:00,9.9725,18.8
AL008,2016-02-13T00:00:00,11.1408333333333,33.6
AL008,2016-02-14T00:00:00,6.38358333333333,25
AL008,2016-02-15T00:00:00,2.78725,0.4
AL008,2016-02-16T00:00:00,0.65375,0
AL008,2016-02-17T00:00:00,1.751,0
AL008,2016-02-18T00:00:00,4.35558333333333,0
AL008,2016-02-19T00:00:00,4.027125,1.8
AL008,2016-02-20T00:00:00,4.43570833333333,0.6
AL008,2016-02-21T00:00:00,6.39416666666667,0
AL008,2016-02-22T00:00:00,10.1795416666667,0
AL008,2016-02-23T00:00:00,9.28845833333333,0
AL008,2016-02-24T00:00:00,8.32429166666667,0
AL008,2016-02-25T00:00:00,6.58004166666667,1.4
AL008,2016-02-26T00:00:00,6.153625,4.4
AL008,2016-02-27T00:00:00,0.813458333333333,1.6
AL008,2016-02-28T00:00:00,2.98608333333333,0
AL008,2016-02-29T00:00:00,4.91679166666667,0
AL008,2016-03-01T00:00:00,7.28875,0
AL008,2016-03-02T00:00:00,10.7732916666667,0
AL008,2016-03-03T00:00:00,10.9604166666667,0
AL008,2016-03-04T00:00:00,10.1455,0
AL008,2016-03-05T00:00:00,5.87883333333333,0
AL008,2016-03-06T00:00:00,4.77504166666667,0
AL008,2016-03-07T00:00:00,3.28725,2.2
AL008,2016-03-08T00:00:00,4.03195833333333,0.2
AL008,2016-03-09T00:00:00,5.09916666666667,0.8
AL008,2016-03-10T00:00:00,4.84995833333333,2.2
AL008,2016-03-11T00:00:00,4.86991666666667,0
AL008,2016-03-12T00:00:00,5.73333333333333,0
AL008,2016-03-13T00:00:00,5.34445833333333,0
AL008,2016-03-14T00:00:00,5.88154166666667,0
AL008,2016-03-15T00:00:00,6.18945833333333,0
AL008,2016-03-16T00:00:00,8.59558333333333,0
AL008,2016-03-17T00:00:00,8.48670833333333,0
AL008,2016-03-18T00:00:00,8.11641666666667,0
AL008,2016-03-19T00:00:00,8.60333333333333,0.6
AL008,2016-03-20T00:00:00,8.00891666666667,0
AL008,2016-03-21T00:00:00,6.025,2
AL008,2016-03-22T00:00:00,6.16704166666667,1.6
AL008,2016-03-23T00:00:00,7.39491666666667,0
AL008,2016-03-24T00:00:00,8.65229166666667,0
AL008,2016-03-25T00:00:00,12.3619583333333,0
AL008,2016-03-26T00:00:00,13.1011666666667,0
AL008,2016-03-27T00:00:00,11.42225,0
AL008,2016-03-28T00:00:00,11.39475,0
AL008,2016-03-29T00:00:00,12.79075,0
AL008,2016-03-30T00:00:00,13.8692083333333,0
AL008,2016-03-31T00:00:00,9.11625,0
AL008,2016-04-01T00:00:00,7.04333333333333,0
AL008,2016-04-02T00:00:00,7.77316666666667,0
AL008,2016-04-03T00:00:00,11.1760416666667,0
AL008,2016-04-04T00:00:00,9.75108333333333,10.6
AL008,2016-04-05T00:00:00,6.60829166666667,4.4
AL008,2016-04-06T00:00:00,10.03525,0.2
AL008,2016-04-07T00:00:00,12.0132916666667,0
AL008,2016-04-08T00:00:00,10.0380416666667,0.6
AL008,2016-04-09T00:00:00,10.060625,0
AL008,2016-04-10T00:00:00,10.914875,0
AL008,2016-04-11T00:00:00,10.95725,0
AL008,2016-04-12T00:00:00,11.3182083333333,0
AL008,2016-04-13T00:00:00,11.226375,0
AL008,2016-04-14T00:00:00,12.849625,0
AL008,2016-04-15T00:00:00,14.6406666666667,0
AL008,2016-04-16T00:00:00,14.5704166666667,0
AL008,2016-04-17T00:00:00,14.0833333333333,0
AL008,2016-04-18T00:00:00,12.5805833333333,0
AL008,2016-04-19T00:00:00,11.9054166666667,0
AL008,2016-04-20T00:00:00,9.918125,3
AL008,2016-04-21T00:00:00,11.6620833333333,0
AL008,2016-04-22T00:00:00,12.9095833333333,0.2
AL008,2016-04-23T00:00:00,13.8816666666667,0
AL008,2016-04-24T00:00:00,14.225,0
AL008,2016-04-25T00:00:00,11.7056666666667,0
AL008,2016-04-26T00:00:00,14.9010416666667,0
AL008,2016-04-27T00:00:00,16.1866666666667,0
AL008,2016-04-28T00:00:00,14.3333333333333,0
AL008,2016-04-29T00:00:00,10.8604166666667,1.4
AL008,2016-04-30T00:00:00,12.9966666666667,0.6
AL008,2016-05-01T00:00:00,12.0780416666667,0
AL008,2016-05-02T00:00:00,10.8822083333333,0
AL008,2016-05-03T00:00:00,13.1264583333333,0
AL008,2016-05-04T00:00:00,13.736125,0
AL008,2016-05-05T00:00:00,13.0673333333333,0.2
AL008,2016-05-06T00:00:00,11.742375,0.8
AL008,2016-05-07T00:00:00,12.4475,5.8
AL008,2016-05-08T00:00:00,11.0554166666667,0.8
AL008,2016-05-09T00:00:00,11.2379166666667,7.8
AL008,2016-05-10T00:00:00,11.2072916666667,6
AL008,2016-05-11T00:00:00,10.740375,0.6
AL008,2016-05-12T00:00:00,9.397875,0.8
AL008,2016-05-13T00:00:00,9.665,0.2
AL008,2016-05-14T00:00:00,12.5540416666667,0
AL008,2016-05-15T00:00:00,13.8358333333333,0
AL008,2016-05-16T00:00:00,15.2270833333333,0
AL008,2016-05-17T00:00:00,15.1233333333333,0
AL008,2016-05-18T00:00:00,16.2820833333333,0
AL008,2016-05-19T00:00:00,18.75875,0
AL008,2016-05-20T00:00:00,16.8383333333333,0
AL008,2016-05-21T00:00:00,17.0483333333333,0
AL008,2016-05-22T00:00:00,18.6995833333333,0
AL008,2016-05-23T00:00:00,15.6333333333333,0
AL008,2016-05-24T00:00:00,19.2216666666667,0
AL008,2016-05-25T00:00:00,20.4675,0
AL008,2016-05-26T00:00:00,19.0125,0
AL008,2016-05-27T00:00:00,20.5833333333333,0
AL008,2016-05-28T00:00:00,17.1616666666667,0.2
AL008,2016-05-29T00:00:00,14.9516666666667,0
AL008,2016-05-30T00:00:00,16.0266666666667,0
AL008,2016-05-31T00:00:00,16.6579166666667,0
AL008,2016-06-01T00:00:00,17.4325,0
AL008,2016-06-02T00:00:00,18.3770833333333,0
AL008,2016-06-03T00:00:00,19.7616666666667,0
AL008,2016-06-04T00:00:00,18.20375,0
AL008,2016-06-05T00:00:00,17.8533333333333,0
AL008,2016-06-06T00:00:00,18.7945833333333,0
AL008,2016-06-07T00:00:00,20.0804166666667,0
AL008,2016-06-08T00:00:00,21.7541666666667,0
AL008,2016-06-09T00:00:00,26.4745833333333,0
AL008,2016-06-10T00:00:00,24.8545833333333,0
AL008,2016-06-11T00:00:00,21.0516666666667,0
AL008,2016-06-12T00:00:00,22.90125,0
AL008,2016-06-13T00:00:00,25.5920833333333,0
AL008,2016-06-14T00:00:00,24.2020833333333,0
AL008,2016-06-15T00:00:00,19.4341666666667,0
AL008,2016-06-16T00:00:00,14.3566666666667,0
AL008,2016-06-17T00:00:00,15.77375,0
AL008,2016-06-18T00:00:00,17.5541666666667,0
AL008,2016-06-19T00:00:00,15.513625,0
AL008,2016-06-20T00:00:00,17.6658333333333,0
AL008,2016-06-21T00:00:00,17.388,0
AL008,2016-06-22T00:00:00,18.53625,0
AL008,2016-06-23T00:00:00,20.3025,0
AL008,2016-06-24T00:00:00,23.3679166666667,0
AL008,2016-06-25T00:00:00,23.9725,0
AL008,2016-06-26T00:00:00,18.6208333333333,0
AL008,2016-06-27T00:00:00,20.2214285714286,0
AL008,2016-06-28T00:00:00,19.23,0.2
AL008,2016-06-29T00:00:00,21.24625,0
AL008,2016-06-30T00:00:00,22.76125,0
AL008,2016-07-01T00:00:00,22.83875,0
AL008,2016-07-02T00:00:00,23.5408333333333,0
AL008,2016-07-03T00:00:00,22.5979166666667,0
AL008,2016-07-04T00:00:00,20.8495833333333,0
AL008,2016-07-05T00:00:00,22.505,0
AL008,2016-07-06T00:00:00,22.5070833333333,0
AL008,2016-07-07T00:00:00,20.52625,0
AL008,2016-07-08T00:00:00,22.5766666666667,0
AL008,2016-07-09T00:00:00,23.3,0
AL008,2016-07-10T00:00:00,23.895,0
AL008,2016-07-11T00:00:00,25.1225,0
AL008,2016-07-12T00:00:00,27.52125,0
AL008,2016-07-13T00:00:00,19.4213636363636,0
AL008,2016-07-14T00:00:00,15.6945454545455,1.6
AL008,2016-07-15T00:00:00,15.1226666666667,0
AL008,2016-07-16T00:00:00,17.7370588235294,0
AL008,2016-07-17T00:00:00,18.5891666666667,0
AL008,2016-07-18T00:00:00,20.5516666666667,0
AL008,2016-07-19T00:00:00,24.7316666666667,0.2
AL008,2016-07-20T00:00:00,26.0295833333333,0
AL008,2016-07-21T00:00:00,26.35875,0
AL008,2016-07-22T00:00:00,24.64625,0
AL008,2016-07-23T00:00:00,20.82625,0
AL008,2016-07-24T00:00:00,20.5291666666667,0
AL008,2016-07-25T00:00:00,21.5395833333333,0
AL008,2016-07-26T00:00:00,23.3175,0
AL008,2016-07-27T00:00:00,24.01625,0
AL008,2016-07-28T00:00:00,23.32375,0
AL008,2016-07-29T00:00:00,23.63125,1.2
AL008,2016-07-30T00:00:00,26.9716666666667,0
AL008,2016-07-31T00:00:00,28.1804166666667,0
AL008,2016-08-01T00:00:00,24.5629166666667,0
AL008,2016-08-02T00:00:00,23.5054166666667,0
AL008,2016-08-03T00:00:00,24.7516666666667,0
AL008,2016-08-04T00:00:00,26.3670833333333,0
AL008,2016-08-05T00:00:00,24.1386956521739,0
AL008,2016-08-06T00:00:00,21.4029166666667,0
AL008,2016-08-07T00:00:00,19.9825,0
AL008,2016-08-08T00:00:00,20.295,0
AL008,2016-08-09T00:00:00,20.7358333333333,0
AL008,2016-08-10T00:00:00,17.8408333333333,0
AL008,2016-08-11T00:00:00,18.50875,0
AL008,2016-08-12T00:00:00,17.9354166666667,0
AL008,2016-08-13T00:00:00,18.3095833333333,0
AL008,2016-08-14T00:00:00,18.9104166666667,0
AL008,2016-08-15T00:00:00,21.73375,0
AL008,2016-08-16T00:00:00,21.5858333333333,3.6
AL008,2016-08-17T00:00:00,24.1829166666667,0
AL008,2016-08-18T00:00:00,25.3191666666667,0
AL008,2016-08-19T00:00:00,26.9629166666667,0
AL008,2016-08-20T00:00:00,26.36625,0
AL008,2016-08-21T00:00:00,21.5804166666667,0
AL008,2016-08-22T00:00:00,21.7991666666667,0
AL008,2016-08-23T00:00:00,20.9220833333333,0
AL008,2016-08-24T00:00:00,19.5066666666667,0
AL008,2016-08-25T00:00:00,19.5383333333333,0
AL008,2016-08-26T00:00:00,20.5066666666667,0
AL008,2016-08-27T00:00:00,23.0108333333333,0
AL008,2016-08-28T00:00:00,26.3679166666667,0
AL008,2016-08-29T00:00:00,25.9383333333333,0
AL008,2016-08-30T00:00:00,21.5741666666667,0
AL008,2016-08-31T00:00:00,21.5675,0
AL008,2016-09-01T00:00:00,20.2170833333333,0
AL008,2016-09-02T00:00:00,21.30875,0
AL008,2016-09-03T00:00:00,22.7754166666667,0
AL008,2016-09-04T00:00:00,24.6370833333333,0
AL008,2016-09-05T00:00:00,28.2083333333333,0
AL008,2016-09-06T00:00:00,26.8241666666667,0
AL008,2016-09-07T00:00:00,26.9170833333333,0
AL008,2016-09-08T00:00:00,25.37125,0
AL008,2016-09-09T00:00:00,22.6095833333333,0.1
AL008,2016-09-10T00:00:00,21.9916666666667,0
AL008,2016-09-11T00:00:00,19.43,0
AL008,2016-09-12T00:00:00,19.6308333333333,0.1
AL008,2016-09-13T00:00:00,18.6695833333333,0
AL008,2016-09-14T00:00:00,14.5295833333333,0
AL008,2016-09-15T00:00:00,14.3545833333333,0
AL008,2016-09-16T00:00:00,16.0395833333333,0
AL008,2016-09-17T00:00:00,17.145,0
AL008,2016-09-18T00:00:00,17.0641666666667,0
AL008,2016-09-19T00:00:00,16.8525,0
AL008,2016-09-20T00:00:00,18.24875,0.7
AL008,2016-09-21T00:00:00,18.95375,0
AL008,2016-09-22T00:00:00,18.66375,0
AL008,2016-09-23T00:00:00,18.2683333333333,0
AL008,2016-09-24T00:00:00,17.2679166666667,0
AL008,2016-09-25T00:00:00,18.2404166666667,0
AL008,2016-09-26T00:00:00,17.7358333333333,0
AL008,2016-09-27T00:00:00,17.2929166666667,0
AL008,2016-09-28T00:00:00,14.8379166666667,2.6
AL008,2016-09-29T00:00:00,14.3858333333333,8.1
AL008,2016-09-30T00:00:00,14.7520833333333,0
AL008,2016-10-01T00:00:00,16.8370833333333,0
AL008,2016-10-02T00:00:00,17.8783333333333,0
AL008,2016-10-03T00:00:00,16.845,0
AL008,2016-10-04T00:00:00,18.29625,0
AL008,2016-10-05T00:00:00,17.5558333333333,0
AL008,2016-10-06T00:00:00,19.2816666666667,0.1
AL008,2016-10-07T00:00:00,19.4104166666667,0
AL008,2016-10-08T00:00:00,19.57875,0
AL008,2016-10-09T00:00:00,16.7233333333333,0
AL008,2016-10-10T00:00:00,16.8641666666667,0
AL008,2016-10-11T00:00:00,17.3604166666667,0
AL008,2016-10-12T00:00:00,12.49875,4.4
AL008,2016-10-13T00:00:00,12.1425,4.6
AL008,2016-10-14T00:00:00,11.52,0
AL008,2016-10-15T00:00:00,11.9691666666667,0
AL008,2016-10-16T00:00:00,13.7572916666667,0
AL008,2016-10-17T00:00:00,17.1533333333333,0.1
AL008,2016-10-18T00:00:00,16.0645833333333,0
AL008,2016-10-19T00:00:00,16.8683333333333,0
AL008,2016-10-20T00:00:00,16.2220833333333,0
AL008,2016-10-21T00:00:00,15.7941666666667,0
AL008,2016-10-22T00:00:00,15.5066666666667,0.7
AL008,2016-10-23T00:00:00,15.75375,0
AL008,2016-10-24T00:00:00,16.3583333333333,0
AL008,2016-10-25T00:00:00,17.2770833333333,0
AL008,2016-10-26T00:00:00,19.1454166666667,0
AL008,2016-10-27T00:00:00,16.6658333333333,0
AL008,2016-10-28T00:00:00,15.3570833333333,0
AL008,2016-10-29T00:00:00,13.3530416666667,0
AL008,2016-10-30T00:00:00,12.376125,0
AL008,2016-10-31T00:00:00,10.6079166666667,0
AL008,2016-11-01T00:00:00,12.069625,0
AL008,2016-11-02T00:00:00,16.3025,0
AL008,2016-11-03T00:00:00,16.19775,0
AL008,2016-11-04T00:00:00,16.09125,0
AL008,2016-11-05T00:00:00,14.3495833333333,0
AL008,2016-11-06T00:00:00,8.871875,2.9
AL008,2016-11-07T00:00:00,5.73841666666667,0
AL008,2016-11-08T00:00:00,4.90120833333333,0
AL008,2016-11-09T00:00:00,7.49404166666667,0
AL008,2016-11-10T00:00:00,9.22670833333333,0
AL008,2016-11-11T00:00:00,7.908375,0
AL008,2016-11-12T00:00:00,10.1937083333333,0
AL008,2016-11-13T00:00:00,9.20629166666667,0
AL008,2016-11-14T00:00:00,8.45175,0
AL008,2016-11-15T00:00:00,7.25975,0
AL008,2016-11-16T00:00:00,7.47470833333333,0
AL008,2016-11-17T00:00:00,8.08845833333333,0
AL008,2016-11-18T00:00:00,10.84025,0
AL008,2016-11-19T00:00:00,11.193125,0
AL008,2016-11-20T00:00:00,9.80958333333333,0
AL008,2016-11-21T00:00:00,12.04375,2.5
AL008,2016-11-22T00:00:00,7.51895833333333,31.7
AL008,2016-11-23T00:00:00,6.30970833333333,2.2
AL008,2016-11-24T00:00:00,4.03808333333333,0
AL008,2016-11-25T00:00:00,5.67733333333333,1.9
AL008,2016-11-26T00:00:00,7.51779166666667,2.9
AL008,2016-11-27T00:00:00,7.766125,1.6
AL008,2016-11-28T00:00:00,7.18345833333333,1
AL008,2016-11-29T00:00:00,6,0
AL008,2016-11-30T00:00:00,8.16666666666667,0
AL008,2016-12-01T00:00:00,7.94041666666667,7.5
AL008,2016-12-02T00:00:00,8.21904166666667,0.3
AL008,2016-12-03T00:00:00,7.45595833333333,1.1
AL008,2016-12-04T00:00:00,8.61875,22.3
AL008,2016-12-05T00:00:00,9.82625,0.6
AL008,2016-12-06T00:00:00,10.14125,0.2
AL008,2016-12-07T00:00:00,6.90854166666667,0
AL008,2016-12-08T00:00:00,7.20395833333333,0
AL008,2016-12-09T00:00:00,9.03058333333333,1.7
AL008,2016-12-10T00:00:00,8.58266666666667,0.1
AL008,2016-12-11T00:00:00,7.91733333333333,0.1
AL008,2016-12-12T00:00:00,4.86566666666667,0
AL008,2016-12-18T00:00:00,4.5,22.5
AL008,2016-12-19T00:00:00,4.91666666666667,0.7
AL008,2016-12-20T00:00:00,4,0
AL008,2016-12-23T00:00:00,8.38461538461539,0
AL008,2016-12-24T00:00:00,5.33333333333333,0
AL008,2016-12-25T00:00:00,5.25,0.1
AL008,2016-12-26T00:00:00,6.54166666666667,0
AL008,2016-12-27T00:00:00,6.125,0
AL008,2016-12-28T00:00:00,4.58333333333333,0
AL008,2016-12-29T00:00:00,7.16666666666667,0
AL008,2016-12-30T00:00:00,3.375,0.3
AL008,2016-12-31T00:00:00,1.66666666666667,0.2
AL008,2017-01-01T00:00:00,2.79166666666667,0.1
AL008,2017-01-02T00:00:00,3,0.2
AL008,2017-01-03T00:00:00,7.20833333333333,0
AL008,2017-01-04T00:00:00,8.29166666666667,0
AL008,2017-01-05T00:00:00,6.83333333333333,0
AL008,2017-01-06T00:00:00,4.16666666666667,0.1
AL008,2017-01-07T00:00:00,4,0.1
AL008,2017-01-08T00:00:00,4.66666666666667,0.1
AL008,2017-01-09T00:00:00,5.08333333333333,0
AL008,2017-01-10T00:00:00,5.79166666666667,0
AL008,2017-01-11T00:00:00,7.45833333333333,0
AL008,2017-01-12T00:00:00,8.33333333333333,0
AL008,2017-01-13T00:00:00,7,0
AL008,2017-01-14T00:00:00,3.33333333333333,0
AL008,2017-01-15T00:00:00,3.5,0
AL008,2017-01-16T00:00:00,4.58333333333333,0
AL008,2017-01-17T00:00:00,4.91666666666667,0
AL008,2017-01-18T00:00:00,-2.33333333333333,0
AL008,2017-01-19T00:00:00,0.458333333333333,1.2
AL008,2017-01-20T00:00:00,0.333333333333333,4.5
