cod_est,FECHA,T_Med,Lluvia_acum
AL008,2020-01-01T00:00:00,6.28841666666667,0.3
AL008,2020-01-02T00:00:00,5.75125,0.2
AL008,2020-01-03T00:00:00,7.97358333333333,0
AL008,2020-01-04T00:00:00,2.13708333333333,0
AL008,2020-01-05T00:00:00,3.20116666666667,0.3
AL008,2020-01-06T00:00:00,4.67108333333333,0.1
AL008,2020-01-07T00:00:00,7.59354166666667,0
AL008,2020-01-08T00:00:00,6.9125,0
AL008,2020-01-09T00:00:00,4.29004166666667,0
AL008,2020-01-10T00:00:00,5.53891666666667,0
AL008,2020-01-11T00:00:00,4.375625,0
AL008,2020-01-12T00:00:00,3.19725,0
AL008,2020-01-13T00:00:00,3.13158333333333,0.2
AL008,2020-01-14T00:00:00,4.84791666666667,0
AL008,2020-01-15T00:00:00,5.33695833333333,0
AL008,2020-01-16T00:00:00,5.40925,0
AL008,2020-01-17T00:00:00,7.00045833333333,0
AL008,2020-01-18T00:00:00,5.692125,4
AL008,2020-01-19T00:00:00,4.041875,1.6
AL008,2020-01-20T00:00:00,-6.13333333333333E-02,4.1
AL008,2020-01-21T00:00:00,0.794166666666667,13.6
AL008,2020-01-22T00:00:00,0.339583333333334,18
AL008,2020-01-23T00:00:00,2.68120833333333,0.1
AL008,2020-01-24T00:00:00,3.75625,0.1
AL008,2020-01-25T00:00:00,2.8455,0.9
AL008,2020-01-26T00:00:00,4.37304166666667,0.1
AL008,2020-01-27T00:00:00,4.29470833333333,0.1
AL008,2020-01-28T00:00:00,7.58683333333333,0
AL008,2020-01-29T00:00:00,8.34733333333333,0
AL008,2020-01-30T00:00:00,10.2069583333333,0
AL008,2020-01-31T00:00:00,9.31420833333333,0
AL008,2020-02-01T00:00:00,9.85870833333333,0
AL008,2020-02-02T00:00:00,10.388125,0.1
AL008,2020-02-03T00:00:00,12.173,0
AL008,2020-02-04T00:00:00,13.2495833333333,0
AL008,2020-02-05T00:00:00,5.87054166666667,0.1
AL008,2020-02-06T00:00:00,5.20429166666667,0
AL008,2020-02-07T00:00:00,5.90916666666667,0.1
AL008,2020-02-08T00:00:00,7.11925,0.1
AL008,2020-02-09T00:00:00,7.250625,0
AL008,2020-02-10T00:00:00,9.61570833333333,0.1
AL008,2020-02-11T00:00:00,11.96775,0
AL008,2020-02-12T00:00:00,9.56391666666667,0
AL008,2020-02-13T00:00:00,9.248875,0
AL008,2020-02-14T00:00:00,8.299875,0.1
AL008,2020-02-15T00:00:00,8.74095833333333,0.2
